COMP;CO_IBGE;CNES;CO_TIPO_UNIDADE;MOTIVO_DESABILITACAO;LEITOS_EXISTENTES;LEITOS_SUS;UTI_TOTAL_EXIST;UTI_TOTAL_SUS
202602;410600;2582430;15;;1;1;0;0
202602;410610;2781727;05;;20;20;0;0
202602;410620;0015180;05;;16;16;0;0
202602;410630;2738279;05;;34;33;0;0
202602;410640;2577380;05;;64;60;10;10
202602;410640;2582449;05;;146;104;23;14
202602;410640;4369831;05;;82;44;20;0
202602;410640;6355099;05;;36;0;5;0
202602;410650;2595125;05;;51;51;0;0
202602;410660;2737531;05;;32;32;0;0
202602;410670;2753812;05;;11;11;0;0
202602;410680;2549328;05;;37;37;0;0
202602;410690;0015245;05;;493;440;93;82
202602;410690;0015318;05;;264;11;61;3
202602;410690;0015334;05;;488;367;78;48
202602;410690;0015369;05;;334;324;70;60
202602;410690;0015407;05;;206;206;29;29
202602;410690;0015415;05;;42;42;0;0
202602;410690;0015423;05;;162;60;28;14
202602;410690;0015563;07;;361;230;68;46
202602;410690;0015601;05;;50;50;0;0
202602;410690;0015636;07;;31;31;0;0
202602;410690;0015644;07;;250;180;31;24
202602;410690;0015660;05;;4;0;0;0
202602;410690;0015717;07;;64;0;10;0
202602;410690;0015806;07;;125;0;0;0
202602;410690;0015962;05;;58;0;8;0
202602;410690;0016209;07;;11;4;0;0
202602;410690;0016365;07;;335;110;0;0
202602;410690;0016462;05;;41;41;0;0
202602;410690;2384272;07;;40;19;0;0
202602;410690;2384299;05;;447;447;62;62
202602;410690;2715864;05;;149;139;20;10
202602;410690;3000850;05;;104;0;36;0
202602;410690;3000869;05;;148;0;60;0
202602;410690;3000877;07;;48;0;7;0
202602;410690;3000885;05;;129;0;1;0
202602;410690;3000907;07;;108;0;16;0
202602;410690;3005585;05;;26;0;7;0
202602;410690;3005593;05;;93;0;0;0
202602;410690;3012042;07;;4;0;0;0
202602;410690;3021238;05;;49;0;0;0
202602;410690;3033910;07;;21;0;0;0
202602;410690;3046524;07;;1;0;0;0
202602;410690;3059200;07;;85;0;0;0
202602;410690;3063216;05;;40;0;10;0
202602;410690;3068870;05;;75;0;0;0
202602;410690;3075516;05;;131;66;22;8
202602;410690;3087727;07;;3;0;0;0
202602;410690;3117626;05;;29;0;0;0
202602;410690;3140156;07;;9;0;0;0
202602;410690;3160408;05;;86;0;31;0
202602;410690;3199371;07;;10;0;0;0
202602;410690;3371980;05;;90;0;35;0
202602;410690;3971465;05;;36;0;10;0
202602;410690;4259181;07;;4;0;0;0
202602;410690;4650107;05;;7;0;0;0
202602;410690;5064554;05;;13;0;0;0
202602;410690;5247993;05;;10;0;0;0
202602;410690;5310350;05;;55;33;4;0
202602;410690;6388671;05;;197;173;30;30
202602;410690;6593267;05;;16;0;0;0
202602;410690;6878318;05;;188;4;60;0
202602;410690;7180799;05;;14;0;0;0
202602;410690;7413432;05;;54;49;0;0
202602;410690;7457081;05;;16;0;0;0
202602;410690;8044325;05;;24;22;2;0
202602;410690;9084940;07;;12;12;0;0
202602;410690;9356312;05;;18;0;0;0
202602;410690;9571493;05;;45;0;0;0
202602;410690;9582800;05;;89;0;10;0
202602;410690;9907939;05;;79;69;0;0
202602;410700;3024628;05;;19;16;0;0
202602;410710;2753871;05;;19;19;0;0
202602;410720;5232511;05;;60;50;0;0
202602;410750;2735962;05;;38;34;0;0
202602;410753;4052536;05;;10;8;0;0
202602;410760;0887854;05;;30;30;0;0
202602;410765;0017574;05;;84;84;0;0
202602;410775;4052617;05;;31;31;0;0
202602;410790;2733196;05;;24;24;0;0
202602;410800;2729490;05;;22;22;0;0
202602;410820;2572370;05;;45;44;0;0
202602;410830;2591049;05;;209;126;44;21
202602;410830;2593912;05;;139;0;8;0
202602;410830;2673800;05;;41;0;7;0
202602;410830;4388380;05;;60;60;0;0
202602;410830;5061989;05;;218;218;40;40
202602;410840;2666723;05;;68;0;4;0
202602;410840;2666731;05;;84;60;10;10
202602;410840;4924614;05;;96;76;10;0
202602;410840;5373190;05;;36;34;6;6
202602;410840;6424341;05;;155;149;34;30
202602;410840;9164359;07;;2;1;0;0
202602;410840;9736654;07;;2;1;0;0
202602;410855;2588404;05;;10;10;0;0
202602;410860;2733609;05;;40;0;0;0
202602;410860;2735970;05;;72;65;10;10
202602;410870;2573318;05;;26;26;0;0
202602;410880;2810123;05;;59;49;0;0
202602;410890;2753839;05;;16;16;0;0
202602;410900;2921456;15;;4;4;0;0
202602;410930;2572443;05;;48;47;0;0
202602;410940;0213845;05;;147;137;10;0
202602;410940;2741989;05;;220;140;44;37
202602;410940;2742047;05;;168;144;20;19
202602;410940;3139301;05;;20;12;0;0
202602;410940;3403416;05;;8;0;0;0
202602;410950;6732100;05;;14;14;0;0
202602;410960;2680807;05;;33;33;0;0
