Indicadores Municipais
População2.1 D.Total Saúde/Hab3.2 %R.Próprios em Saúde-EC 29R.Transf.SUS/Hab por Munic-BR
UF: Paraná
Período:2015
"Munic-BR";"População";"2.1_D.Total_Saúde/Hab";"3.2_%R.Próprios_em_Saúde-EC_29";"R.Transf.SUS/Hab"
"412520 São Jorge d'Oeste";9302;1056,24;17,15;196,49
"412530 São Jorge do Ivaí";5674;909,27;30,70;195,60
"412535 São Jorge do Patrocínio";6015;1264,29;24,06;428,37
"412540 São José da Boa Vista";6539;786,72;22,91;424,66
"412545 São José das Palmeiras";3847;874,20;21,59;206,47
"412550 São José dos Pinhais";297895;899,33;28,60;166,64
"412555 São Manoel do Paraná";2180;1169,47;15,82;405,36
"412560 São Mateus do Sul";44594;604,20;32,16;54,70
"412570 São Miguel do Iguaçu";27197;780,15;17,08;196,26
"412575 São Pedro do Iguaçu";6388;722,96;22,57;215,78
"412580 São Pedro do Ivaí";10799;707,42;26,59;159,06
"412590 São Pedro do Paraná";2474;1675,40;27,18;390,92
"412600 São Sebastião da Amoreira";8952;695,74;28,86;289,40
"412610 São Tomé";5657;816,39;20,53;254,24
"412620 Sapopema";6908;678,72;25,63;292,70
"412625 Sarandi";90376;290,08;24,17;93,87
"412627 Saudade do Iguaçu";5372;1530,17;6,17;275,61
"412630 Sengés";19302;459,38;22,96;99,56
"412635 Serranópolis do Iguaçu";4652;1193,48;22,19;223,96
"412640 Sertaneja";5724;990,58;25,43;246,44
"412650 Sertanópolis";16373;658,79;25,55;175,28
"412660 Siqueira Campos";20094;508,35;22,82;169,64
"412665 Sulina";3293;941,87;17,41;430,63
"412667 Tamarana";13730;695,03;30,29;217,14
"412670 Tamboara";4991;762,96;24,77;210,34
"412680 Tapejara";15704;558,61;23,22;114,74
"412690 Tapira";5851;795,96;24,78;301,05
"412700 Teixeira Soares";11495;478,45;17,57;128,56
"412710 Telêmaco Borba";75809;465,96;15,68;100,60
"412720 Terra Boa";16781;888,65;31,00;446,45
"412730 Terra Rica";16326;723,12;32,02;248,84
"412740 Terra Roxa";17517;553,88;20,82;112,78
"412750 Tibagi";20377;621,73;16,95;178,31
"412760 Tijucas do Sul";15970;659,30;28,30;128,28
"412770 Toledo";132077;581,59;28,61;106,06
"412780 Tomazina";8619;517,58;15,65;188,71
"412785 Três Barras do Paraná";12227;746,37;25,56;218,93
"412788 Tunas do Paraná";7559;648,49;24,19;237,00
"412790 Tuneiras do Oeste";8860;674,91;22,59;284,11
"412795 Tupãssi";8261;597,64;20,00;230,30
"412796 Turvo";13785;532,29;22,16;166,54
"412800 Ubiratã";21864;532,54;18,79;203,05
"412810 Umuarama";108218;817,89;24,73;479,84
"412820 União da Vitória";56265;369,49;22,35;115,19
"412830 Uniflor";2593;943,50;15,92;312,31
"412840 Uraí";11695;477,68;26,16;170,58
"412853 Ventania";11093;781,43;29,43;239,23
"412855 Vera Cruz do Oeste";8998;553,85;17,24;248,33
"412860 Verê";7799;772,66;24,73;193,97
"412865 Virmond";4085;900,70;21,49;292,45
"412870 Vitorino";6828;679,01;19,11;204,50
"412850 Wenceslau Braz";19847;494,01;26,16;155,14
"412880 Xambrê";6016;709,91;23,52;213,01
"Total";11163018;673,56;23,43;259,73
